correct value,prediction
1.0,0.71748036
1.0,0.38879055
1.0,0.505068
1.0,0.95135814
0.0,0.3405198
1.0,0.61363643
1.0,1.1503568
1.0,0.3815245
0.0,0.22158957
1.0,0.57013685
0.0,0.19422993
0.0,0.27145135
0.0,0.2548757
0.0,0.2024185
1.0,0.37992167
1.0,1.2934783
1.0,1.1674938
1.0,0.4515565
0.0,0.26415992
0.0,0.27239603
0.0,0.35200816
1.0,0.39511758
0.0,0.25987595
0.0,0.33798662
0.0,0.13272989
1.0,1.0228584
1.0,0.39579833
0.0,0.15544054
1.0,0.8785779
0.0,0.20336723
0.0,0.35880348
1.0,0.57004803
1.0,0.37057123
1.0,0.5385638
0.0,0.3264897
0.0,0.2988721
0.0,0.3163299
1.0,0.91603357
1.0,1.7194774
0.0,0.29680455
1.0,1.2731616
0.0,0.30121875
0.0,0.25179014
0.0,0.27816218
0.0,0.34080568
0.0,0.2884333
1.0,0.36445877
0.0,0.29000646
1.0,1.7046835
0.0,0.34254608
1.0,1.4465153
0.0,0.21694013
1.0,1.204247
0.0,0.34958377
0.0,0.34436327
1.0,1.6899264
1.0,0.38102362
0.0,0.2446022
0.0,0.30703813
0.0,0.3330103
1.0,0.35708824
0.0,0.3068807
0.0,0.3070442
1.0,1.4262395
1.0,0.36941075
0.0,0.119854525
0.0,0.17674589
1.0,1.1601098
0.0,0.31261688
1.0,1.3123748
0.0,0.15834671
1.0,0.94232196
0.0,0.28800526
1.0,1.7294576
0.0,0.2005133
1.0,0.7661852
0.0,0.31583214
1.0,0.37005037
0.0,0.34980455
1.0,0.3994484
1.0,0.43054384
0.0,0.15668598
1.0,0.61676055
0.0,0.15351528
1.0,0.85903263
0.0,0.26883298
1.0,0.39711124
1.0,0.95292217
1.0,0.8428914
0.0,0.17283005
1.0,0.3746005
0.0,0.23085535
0.0,0.21381888
1.0,1.8605239
0.0,0.3679338
0.0,0.34219053
0.0,0.20921189
1.0,0.5347634
1.0,1.6480985
0.0,0.24114984
0.0,0.29674494
1.0,0.7295192
1.0,0.5543916
1.0,0.531544
1.0,0.57607913
0.0,0.17472124
1.0,1.9803686
0.0,0.28360614
0.0,0.33720833
0.0,0.23288792
0.0,0.16192129
1.0,0.7195553
0.0,0.2916805
0.0,0.22413296
1.0,0.8984913
1.0,1.3938415
0.0,0.35473427
0.0,0.29936948
1.0,1.0185053
1.0,1.2128961
1.0,1.0450208
0.0,0.26086393
1.0,1.4948306
0.0,0.21512902
0.0,0.25965068
0.0,0.24290788
0.0,0.25481576
0.0,0.23037496
1.0,1.1761842
0.0,0.1778726
0.0,0.2745561
0.0,0.31858033
1.0,0.8697042
1.0,0.56733495
1.0,0.99382824
0.0,0.31622726
1.0,0.54378146
0.0,0.34628564
0.0,0.31677705
1.0,0.79368895
1.0,0.63242084
1.0,0.9703726
